time_period,location,disease_cases
202201,A3R7UT64jHf,0.0
202201,A3TeVhjjS2u,0.0
202201,B7X957nA1lM,0.0
202201,BITtrV4c0xf,0.0
202201,BdLcDbLQd88,0.0
202201,BywOwm8jUhf,0.0
202201,CNFRaFUfLjo,1.0
202201,D51gR5DC5vt,1.0
202201,DLyaDAF00hm,0.0
202201,EXKX4gJ9D6Y,0.0
202201,F5xI4hl77mT,1.0
202201,Fh294RrB7an,0.0
202201,GnpIwWbdxdl,0.0
202201,HL5fSUsp2vJ,0.0
202201,HfIRB3HRHvk,0.0
202201,HkwA8YQgJK6,0.0
202201,ICSVN3EZGcy,0.0
202201,IOHIfpVUJGp,0.0
202201,Iqy9A4jXY9l,0.0
202201,JBTkOU5m0Bu,1.0
202201,JH8RPnwv8kB,0.0
202201,LnJ8MTOmgGa,0.0
202201,N7ioObCpMP3,1.0
202201,NSLL7YIXBJH,0.0
202201,O5p5idrXdiw,1.0
202201,P53hVYydxdc,0.0
202201,PUPCyKcUwlS,0.0
202201,PdRpVxkVd9a,0.0
202201,QfZ2pVPRFmz,0.0
202201,QzI3Btz60Ne,0.0
202201,RSAZqrdfXy5,2.0
202201,RZxElQxEbZN,0.0
202201,S8J6p6tGXNb,0.0
202201,SJQ2e9HUvaG,0.0
202201,U8Rk7sYzFmK,0.0
202201,VoOb1wMwKp0,0.0
202201,Wep3D4POB3H,0.0
202201,WfE2smSUNDt,0.0
202201,Yacp1fLlWut,0.0
202201,YmFSl06J6cs,0.0
202201,YnUoe8z0OJY,0.0
202201,ZIo35uAAfZo,0.0
202201,ZULmwVN4Zfv,0.0
202201,ZVmULoI6vcV,0.0
202201,bWmwn3sMsG0,0.0
202201,bX87SmYR3TJ,0.0
202201,bjS2Lp3tLxv,0.0
202201,cMWLZfK0O4z,0.0
202201,eW2b8SUYRWt,0.0
202201,ebbAyOhorzo,0.0
202201,elOK8Y2b3Qn,0.0
202201,ewPc6zXy53n,0.0
202201,gannbFbizVo,0.0
202201,grMJpaDdSrD,0.0
202201,hasbXH0dTqM,0.0
202201,i6gMyoP9ReK,0.0
202201,iqLM1XBMxyu,0.0
202201,j0gE31YxwHQ,
202201,j4HVtKmVtwQ,1.0
202201,jJmNryYp6Mc,0.0
202201,kBRVmS9IKRE,0.0
202201,kfrKchZfqGr,0.0
202201,l8tZrJ55yzg,0.0
202201,mMGyx6JG7wj,0.0
202201,q7VB2VrUr83,0.0
202201,qoayxucpZqH,0.0
202201,rsZaqJl5R0A,0.0
202201,t9XsLKdMwA1,2.0
202201,tSE6ctwvZmP,0.0
202201,uHEl9oRZm8L,0.0
202201,uyGkoQ4F9rT,0.0
202201,vjL1uSC10Jh,0.0
202201,wYKHZ0iyjfd,0.0
202201,xGQwwqLQ819,0.0
202201,yP2GELa6inf,0.0
202201,ycBkX3TlIrL,0.0
202201,zkFZKX5RX1A,0.0
202202,A3R7UT64jHf,0.0
202202,A3TeVhjjS2u,0.0
202202,B7X957nA1lM,0.0
202202,BITtrV4c0xf,0.0
202202,BdLcDbLQd88,0.0
202202,BywOwm8jUhf,0.0
202202,CNFRaFUfLjo,0.0
202202,D51gR5DC5vt,0.0
202202,DLyaDAF00hm,0.0
202202,EXKX4gJ9D6Y,0.0
202202,F5xI4hl77mT,0.0
202202,Fh294RrB7an,0.0
202202,GnpIwWbdxdl,0.0
202202,HL5fSUsp2vJ,0.0
202202,HfIRB3HRHvk,0.0
202202,HkwA8YQgJK6,0.0
202202,ICSVN3EZGcy,0.0
202202,IOHIfpVUJGp,0.0
202202,Iqy9A4jXY9l,0.0
202202,JBTkOU5m0Bu,0.0
202202,JH8RPnwv8kB,0.0
202202,LnJ8MTOmgGa,0.0
202202,N7ioObCpMP3,0.0
202202,NSLL7YIXBJH,0.0
202202,O5p5idrXdiw,0.0
202202,P53hVYydxdc,0.0
202202,PUPCyKcUwlS,0.0
202202,PdRpVxkVd9a,1.0
202202,QfZ2pVPRFmz,0.0
202202,QzI3Btz60Ne,0.0
202202,RSAZqrdfXy5,0.0
202202,RZxElQxEbZN,0.0
202202,S8J6p6tGXNb,0.0
202202,SJQ2e9HUvaG,0.0
202202,U8Rk7sYzFmK,0.0
202202,VoOb1wMwKp0,0.0
202202,Wep3D4POB3H,0.0
202202,WfE2smSUNDt,0.0
202202,Yacp1fLlWut,0.0
202202,YmFSl06J6cs,0.0
202202,YnUoe8z0OJY,0.0
202202,ZIo35uAAfZo,0.0
202202,ZULmwVN4Zfv,0.0
202202,ZVmULoI6vcV,0.0
202202,bWmwn3sMsG0,1.0
202202,bX87SmYR3TJ,0.0
202202,bjS2Lp3tLxv,0.0
202202,cMWLZfK0O4z,0.0
202202,eW2b8SUYRWt,0.0
202202,ebbAyOhorzo,0.0
202202,elOK8Y2b3Qn,0.0
202202,ewPc6zXy53n,0.0
