time_period,location,disease_cases
2022-01,A3R7UT64jHf,0
2022-01,A3TeVhjjS2u,0
2022-01,B7X957nA1lM,0
2022-01,BITtrV4c0xf,0
2022-01,BdLcDbLQd88,0
2022-01,BywOwm8jUhf,0
2022-01,CNFRaFUfLjo,1
2022-01,D51gR5DC5vt,1
2022-01,DLyaDAF00hm,0
2022-01,EXKX4gJ9D6Y,0
2022-01,F5xI4hl77mT,1
2022-01,Fh294RrB7an,0
2022-01,GnpIwWbdxdl,0
2022-01,HL5fSUsp2vJ,0
2022-01,HfIRB3HRHvk,0
2022-01,HkwA8YQgJK6,0
2022-01,ICSVN3EZGcy,0
2022-01,IOHIfpVUJGp,0
2022-01,Iqy9A4jXY9l,0
2022-01,JBTkOU5m0Bu,1
2022-01,JH8RPnwv8kB,0
2022-01,LnJ8MTOmgGa,0
2022-01,N7ioObCpMP3,1
2022-01,NSLL7YIXBJH,0
2022-01,O5p5idrXdiw,1
2022-01,P53hVYydxdc,0
2022-01,PUPCyKcUwlS,0
2022-01,PdRpVxkVd9a,0
2022-01,QfZ2pVPRFmz,0
2022-01,QzI3Btz60Ne,0
2022-01,RSAZqrdfXy5,2
2022-01,RZxElQxEbZN,0
2022-01,S8J6p6tGXNb,0
2022-01,SJQ2e9HUvaG,0
2022-01,U8Rk7sYzFmK,0
2022-01,VoOb1wMwKp0,0
2022-01,Wep3D4POB3H,0
2022-01,WfE2smSUNDt,0
2022-01,Yacp1fLlWut,0
2022-01,YmFSl06J6cs,0
2022-01,YnUoe8z0OJY,0
2022-01,ZIo35uAAfZo,0
2022-01,ZULmwVN4Zfv,0
2022-01,ZVmULoI6vcV,0
2022-01,bWmwn3sMsG0,0
2022-01,bX87SmYR3TJ,0
2022-01,bjS2Lp3tLxv,0
2022-01,cMWLZfK0O4z,0
2022-01,eW2b8SUYRWt,0
2022-01,ebbAyOhorzo,0
2022-01,elOK8Y2b3Qn,0
2022-01,ewPc6zXy53n,0
2022-01,gannbFbizVo,0
2022-01,grMJpaDdSrD,0
2022-01,hasbXH0dTqM,0
2022-01,i6gMyoP9ReK,0
2022-01,iqLM1XBMxyu,0
2022-01,j0gE31YxwHQ,0
2022-01,j4HVtKmVtwQ,1
2022-01,jJmNryYp6Mc,0
2022-01,kBRVmS9IKRE,0
2022-01,kfrKchZfqGr,0
2022-01,l8tZrJ55yzg,0
2022-01,mMGyx6JG7wj,0
2022-01,q7VB2VrUr83,0
2022-01,qoayxucpZqH,0
2022-01,rsZaqJl5R0A,0
2022-01,t9XsLKdMwA1,2
2022-01,tSE6ctwvZmP,0
2022-01,uHEl9oRZm8L,0
2022-01,uyGkoQ4F9rT,0
2022-01,vjL1uSC10Jh,0
2022-01,wYKHZ0iyjfd,0
2022-01,xGQwwqLQ819,0
2022-01,yP2GELa6inf,0
2022-01,ycBkX3TlIrL,0
2022-01,zkFZKX5RX1A,0
2022-02,A3R7UT64jHf,0
2022-02,A3TeVhjjS2u,0
2022-02,B7X957nA1lM,0
2022-02,BITtrV4c0xf,0
2022-02,BdLcDbLQd88,0
2022-02,BywOwm8jUhf,0
2022-02,CNFRaFUfLjo,0
2022-02,D51gR5DC5vt,0
2022-02,DLyaDAF00hm,0
2022-02,EXKX4gJ9D6Y,0
2022-02,F5xI4hl77mT,0
2022-02,Fh294RrB7an,0
2022-02,GnpIwWbdxdl,0
2022-02,HL5fSUsp2vJ,0
2022-02,HfIRB3HRHvk,0
2022-02,HkwA8YQgJK6,0
2022-02,ICSVN3EZGcy,0
2022-02,IOHIfpVUJGp,0
2022-02,Iqy9A4jXY9l,0
2022-02,JBTkOU5m0Bu,0
2022-02,JH8RPnwv8kB,0
2022-02,LnJ8MTOmgGa,0
2022-02,N7ioObCpMP3,0
2022-02,NSLL7YIXBJH,0
2022-02,O5p5idrXdiw,0
2022-02,P53hVYydxdc,0
2022-02,PUPCyKcUwlS,0
2022-02,PdRpVxkVd9a,1
2022-02,QfZ2pVPRFmz,0
2022-02,QzI3Btz60Ne,0
2022-02,RSAZqrdfXy5,0
2022-02,RZxElQxEbZN,0
2022-02,S8J6p6tGXNb,0
2022-02,SJQ2e9HUvaG,0
2022-02,U8Rk7sYzFmK,0
2022-02,VoOb1wMwKp0,0
2022-02,Wep3D4POB3H,0
2022-02,WfE2smSUNDt,0
2022-02,Yacp1fLlWut,0
2022-02,YmFSl06J6cs,0
2022-02,YnUoe8z0OJY,0
2022-02,ZIo35uAAfZo,0
2022-02,ZULmwVN4Zfv,0
2022-02,ZVmULoI6vcV,0
2022-02,bWmwn3sMsG0,1
2022-02,bX87SmYR3TJ,0
2022-02,bjS2Lp3tLxv,0
2022-02,cMWLZfK0O4z,0
2022-02,eW2b8SUYRWt,0
2022-02,ebbAyOhorzo,0
2022-02,elOK8Y2b3Qn,0
2022-02,ewPc6zXy53n,0
2022-02,gannbFbizVo,1
2022-02,grMJpaDdSrD,0
2022-02,hasbXH0dTqM,0
2022-02,i6gMyoP9ReK,0
2022-02,iqLM1XBMxyu,0
2022-02,j0gE31YxwHQ,0
2022-02,j4HVtKmVtwQ,0
2022-02,jJmNryYp6Mc,0
2022-02,kBRVmS9IKRE,0
2022-02,kfrKchZfqGr,0
2022-02,l8tZrJ55yzg,0
2022-02,mMGyx6JG7wj,0
2022-02,q7VB2VrUr83,0
2022-02,qoayxucpZqH,0
2022-02,rsZaqJl5R0A,0
2022-02,t9XsLKdMwA1,0
2022-02,tSE6ctwvZmP,0
2022-02,uHEl9oRZm8L,0
2022-02,uyGkoQ4F9rT,0
2022-02,vjL1uSC10Jh,0
2022-02,wYKHZ0iyjfd,0
2022-02,xGQwwqLQ819,0
2022-02,yP2GELa6inf,0
2022-02,ycBkX3TlIrL,0
2022-02,zkFZKX5RX1A,0
2022-03,A3R7UT64jHf,0
2022-03,A3TeVhjjS2u,0
2022-03,B7X957nA1lM,0
2022-03,BITtrV4c0xf,0
2022-03,BdLcDbLQd88,0
2022-03,BywOwm8jUhf,0
2022-03,CNFRaFUfLjo,1
2022-03,D51gR5DC5vt,0
2022-03,DLyaDAF00hm,0
2022-03,EXKX4gJ9D6Y,0
