location,time_period,disease_cases
A3R7UT64jHf,202201,0.0
A3R7UT64jHf,202202,0.0
A3R7UT64jHf,202203,0.0
A3R7UT64jHf,202204,0.0
A3R7UT64jHf,202205,1.0
A3R7UT64jHf,202206,0.0
A3R7UT64jHf,202207,2.0
A3R7UT64jHf,202208,5.0
A3R7UT64jHf,202209,70.0
A3R7UT64jHf,202210,45.0
A3R7UT64jHf,202211,15.0
A3R7UT64jHf,202212,3.0
A3R7UT64jHf,202301,0.0
A3R7UT64jHf,202302,0.0
A3R7UT64jHf,202303,0.0
A3R7UT64jHf,202304,0.0
A3R7UT64jHf,202305,1.0
A3R7UT64jHf,202306,0.0
A3R7UT64jHf,202307,2.0
A3R7UT64jHf,202308,13.0
A3R7UT64jHf,202309,11.0
A3R7UT64jHf,202310,14.0
A3R7UT64jHf,202311,4.0
A3R7UT64jHf,202312,1.0
A3R7UT64jHf,202401,0.0
A3R7UT64jHf,202402,0.0
A3R7UT64jHf,202403,1.0
A3R7UT64jHf,202404,4.0
A3R7UT64jHf,202405,5.0
A3R7UT64jHf,202406,3.0
A3R7UT64jHf,202407,2.0
A3R7UT64jHf,202408,6.0
A3R7UT64jHf,202409,25.0
A3R7UT64jHf,202410,25.0
A3R7UT64jHf,202411,17.0
A3R7UT64jHf,202412,0.0
A3TeVhjjS2u,202201,0.0
A3TeVhjjS2u,202202,0.0
A3TeVhjjS2u,202203,0.0
A3TeVhjjS2u,202204,0.0
A3TeVhjjS2u,202205,0.0
A3TeVhjjS2u,202206,0.0
A3TeVhjjS2u,202207,6.0
A3TeVhjjS2u,202208,12.0
A3TeVhjjS2u,202209,70.0
A3TeVhjjS2u,202210,57.0
A3TeVhjjS2u,202211,32.0
A3TeVhjjS2u,202212,4.0
A3TeVhjjS2u,202301,0.0
A3TeVhjjS2u,202302,0.0
A3TeVhjjS2u,202303,0.0
A3TeVhjjS2u,202304,2.0
A3TeVhjjS2u,202305,1.0
A3TeVhjjS2u,202306,1.0
A3TeVhjjS2u,202307,0.0
A3TeVhjjS2u,202308,10.0
A3TeVhjjS2u,202309,9.0
A3TeVhjjS2u,202310,363.0
A3TeVhjjS2u,202311,152.0
A3TeVhjjS2u,202312,2.0
