location,time_period,population
A3R7UT64jHf,2022-01,839709.5121265656
A3R7UT64jHf,2022-02,839709.5121265656
A3R7UT64jHf,2022-03,839709.5121265656
A3R7UT64jHf,2022-04,839709.5121265656
A3R7UT64jHf,2022-05,839709.5121265656
A3R7UT64jHf,2022-06,839709.5121265656
A3R7UT64jHf,2022-07,839709.5121265656
A3R7UT64jHf,2022-08,839709.5121265656
A3R7UT64jHf,2022-09,839709.5121265656
A3R7UT64jHf,2022-10,839709.5121265656
A3R7UT64jHf,2022-11,839709.5121265656
A3R7UT64jHf,2022-12,839709.5121265656
A3R7UT64jHf,2023-01,839700.6465164255
A3R7UT64jHf,2023-02,839700.6465164255
A3R7UT64jHf,2023-03,839700.6465164255
A3R7UT64jHf,2023-04,839700.6465164255
A3R7UT64jHf,2023-05,839700.6465164255
A3R7UT64jHf,2023-06,839700.6465164255
A3R7UT64jHf,2023-07,839700.6465164255
A3R7UT64jHf,2023-08,839700.6465164255
A3R7UT64jHf,2023-09,839700.6465164255
A3R7UT64jHf,2023-10,839700.6465164255
A3R7UT64jHf,2023-11,839700.6465164255
A3R7UT64jHf,2023-12,839700.6465164255
A3R7UT64jHf,2024-01,838533.1465796327
A3R7UT64jHf,2024-02,838533.1465796327
A3R7UT64jHf,2024-03,838533.1465796327
A3R7UT64jHf,2024-04,838533.1465796327
A3R7UT64jHf,2024-05,838533.1465796327
A3R7UT64jHf,2024-06,838533.1465796327
A3R7UT64jHf,2024-07,838533.1465796327
A3R7UT64jHf,2024-08,838533.1465796327
A3R7UT64jHf,2024-09,838533.1465796327
A3R7UT64jHf,2024-10,838533.1465796327
A3R7UT64jHf,2024-11,838533.1465796327
A3R7UT64jHf,2024-12,838533.1465796327
A3TeVhjjS2u,2022-01,253646.96768854675
A3TeVhjjS2u,2022-02,253646.96768854675
A3TeVhjjS2u,2022-03,253646.96768854675
A3TeVhjjS2u,2022-04,253646.96768854675
A3TeVhjjS2u,2022-05,253646.96768854675
A3TeVhjjS2u,2022-06,253646.96768854675
A3TeVhjjS2u,2022-07,253646.96768854675
A3TeVhjjS2u,2022-08,253646.96768854675
A3TeVhjjS2u,2022-09,253646.96768854675
A3TeVhjjS2u,2022-10,253646.96768854675
A3TeVhjjS2u,2022-11,253646.96768854675
A3TeVhjjS2u,2022-12,253646.96768854675
A3TeVhjjS2u,2023-01,253644.2903957999
A3TeVhjjS2u,2023-02,253644.2903957999
A3TeVhjjS2u,2023-03,253644.2903957999
A3TeVhjjS2u,2023-04,253644.2903957999
A3TeVhjjS2u,2023-05,253644.2903957999
A3TeVhjjS2u,2023-06,253644.2903957999
A3TeVhjjS2u,2023-07,253644.2903957999
A3TeVhjjS2u,2023-08,253644.2903957999
A3TeVhjjS2u,2023-09,253644.2903957999
A3TeVhjjS2u,2023-10,253644.2903957999
A3TeVhjjS2u,2023-11,253644.2903957999
A3TeVhjjS2u,2023-12,253644.2903957999
A3TeVhjjS2u,2024-01,253291.50022470843
A3TeVhjjS2u,2024-02,253291.50022470843
A3TeVhjjS2u,2024-03,253291.50022470843
A3TeVhjjS2u,2024-04,253291.50022470843
A3TeVhjjS2u,2024-05,253291.50022470843
A3TeVhjjS2u,2024-06,253291.50022470843
A3TeVhjjS2u,2024-07,253291.50022470843
A3TeVhjjS2u,2024-08,253291.50022470843
A3TeVhjjS2u,2024-09,253291.50022470843
A3TeVhjjS2u,2024-10,253291.50022470843
A3TeVhjjS2u,2024-11,253291.50022470843
A3TeVhjjS2u,2024-12,253291.50022470843
B7X957nA1lM,2022-01,140889.41056717437
B7X957nA1lM,2022-02,140889.41056717437
B7X957nA1lM,2022-03,140889.41056717437
B7X957nA1lM,2022-04,140889.41056717437
B7X957nA1lM,2022-05,140889.41056717437
B7X957nA1lM,2022-06,140889.41056717437
B7X957nA1lM,2022-07,140889.41056717437
B7X957nA1lM,2022-08,140889.41056717437
B7X957nA1lM,2022-09,140889.41056717437
B7X957nA1lM,2022-10,140889.41056717437
B7X957nA1lM,2022-11,140889.41056717437
B7X957nA1lM,2022-12,140889.41056717437
B7X957nA1lM,2023-01,140887.9232791199
B7X957nA1lM,2023-02,140887.9232791199
B7X957nA1lM,2023-03,140887.9232791199
B7X957nA1lM,2023-04,140887.9232791199
B7X957nA1lM,2023-05,140887.9232791199
B7X957nA1lM,2023-06,140887.9232791199
B7X957nA1lM,2023-07,140887.9232791199
B7X957nA1lM,2023-08,140887.9232791199
B7X957nA1lM,2023-09,140887.9232791199
B7X957nA1lM,2023-10,140887.9232791199
B7X957nA1lM,2023-11,140887.9232791199
B7X957nA1lM,2023-12,140887.9232791199
B7X957nA1lM,2024-01,140691.96582569578
B7X957nA1lM,2024-02,140691.96582569578
B7X957nA1lM,2024-03,140691.96582569578
B7X957nA1lM,2024-04,140691.96582569578
B7X957nA1lM,2024-05,140691.96582569578
B7X957nA1lM,2024-06,140691.96582569578
B7X957nA1lM,2024-07,140691.96582569578
B7X957nA1lM,2024-08,140691.96582569578
B7X957nA1lM,2024-09,140691.96582569578
B7X957nA1lM,2024-10,140691.96582569578
B7X957nA1lM,2024-11,140691.96582569578
B7X957nA1lM,2024-12,140691.96582569578
BITtrV4c0xf,2022-01,177658.98989525397
BITtrV4c0xf,2022-02,177658.98989525397
BITtrV4c0xf,2022-03,177658.98989525397
BITtrV4c0xf,2022-04,177658.98989525397
BITtrV4c0xf,2022-05,177658.98989525397
BITtrV4c0xf,2022-06,177658.98989525397
BITtrV4c0xf,2022-07,177658.98989525397
BITtrV4c0xf,2022-08,177658.98989525397
BITtrV4c0xf,2022-09,177658.98989525397
BITtrV4c0xf,2022-10,177658.98989525397
BITtrV4c0xf,2022-11,177658.98989525397
BITtrV4c0xf,2022-12,177658.98989525397
BITtrV4c0xf,2023-01,177657.10739156048
BITtrV4c0xf,2023-02,177657.10739156048
BITtrV4c0xf,2023-03,177657.10739156048
BITtrV4c0xf,2023-04,177657.10739156048
BITtrV4c0xf,2023-05,177657.10739156048
BITtrV4c0xf,2023-06,177657.10739156048
BITtrV4c0xf,2023-07,177657.10739156048
BITtrV4c0xf,2023-08,177657.10739156048
BITtrV4c0xf,2023-09,177657.10739156048
BITtrV4c0xf,2023-10,177657.10739156048
BITtrV4c0xf,2023-11,177657.10739156048
BITtrV4c0xf,2023-12,177657.10739156048
BITtrV4c0xf,2024-01,177409.29546975778
BITtrV4c0xf,2024-02,177409.29546975778
BITtrV4c0xf,2024-03,177409.29546975778
BITtrV4c0xf,2024-04,177409.29546975778
BITtrV4c0xf,2024-05,177409.29546975778
BITtrV4c0xf,2024-06,177409.29546975778
BITtrV4c0xf,2024-07,177409.29546975778
BITtrV4c0xf,2024-08,177409.29546975778
BITtrV4c0xf,2024-09,177409.29546975778
BITtrV4c0xf,2024-10,177409.29546975778
BITtrV4c0xf,2024-11,177409.29546975778
BITtrV4c0xf,2024-12,177409.29546975778
BdLcDbLQd88,2022-01,122260.61748423445
BdLcDbLQd88,2022-02,122260.61748423445
BdLcDbLQd88,2022-03,122260.61748423445
BdLcDbLQd88,2022-04,122260.61748423445
BdLcDbLQd88,2022-05,122260.61748423445
BdLcDbLQd88,2022-06,122260.61748423445
BdLcDbLQd88,2022-07,122260.61748423445
BdLcDbLQd88,2022-08,122260.61748423445
BdLcDbLQd88,2022-09,122260.61748423445
BdLcDbLQd88,2022-10,122260.61748423445
BdLcDbLQd88,2022-11,122260.61748423445
BdLcDbLQd88,2022-12,122260.61748423445
BdLcDbLQd88,2023-01,122259.32613898278
BdLcDbLQd88,2023-02,122259.32613898278
BdLcDbLQd88,2023-03,122259.32613898278
BdLcDbLQd88,2023-04,122259.32613898278
BdLcDbLQd88,2023-05,122259.32613898278
BdLcDbLQd88,2023-06,122259.32613898278
BdLcDbLQd88,2023-07,122259.32613898278
BdLcDbLQd88,2023-08,122259.32613898278
BdLcDbLQd88,2023-09,122259.32613898278
BdLcDbLQd88,2023-10,122259.32613898278
BdLcDbLQd88,2023-11,122259.32613898278
BdLcDbLQd88,2023-12,122259.32613898278
BdLcDbLQd88,2024-01,122089.2831754935
BdLcDbLQd88,2024-02,122089.2831754935
BdLcDbLQd88,2024-03,122089.2831754935
BdLcDbLQd88,2024-04,122089.2831754935
BdLcDbLQd88,2024-05,122089.2831754935
BdLcDbLQd88,2024-06,122089.2831754935
BdLcDbLQd88,2024-07,122089.2831754935
BdLcDbLQd88,2024-08,122089.2831754935
BdLcDbLQd88,2024-09,122089.2831754935
BdLcDbLQd88,2024-10,122089.2831754935
BdLcDbLQd88,2024-11,122089.2831754935
BdLcDbLQd88,2024-12,122089.2831754935
BywOwm8jUhf,2022-01,131646.11560630996
BywOwm8jUhf,2022-02,131646.11560630996
BywOwm8jUhf,2022-03,131646.11560630996
BywOwm8jUhf,2022-04,131646.11560630996
BywOwm8jUhf,2022-05,131646.11560630996
BywOwm8jUhf,2022-06,131646.11560630996
BywOwm8jUhf,2022-07,131646.11560630996
BywOwm8jUhf,2022-08,131646.11560630996
BywOwm8jUhf,2022-09,131646.11560630996
BywOwm8jUhf,2022-10,131646.11560630996
BywOwm8jUhf,2022-11,131646.11560630996
BywOwm8jUhf,2022-12,131646.11560630996
BywOwm8jUhf,2023-01,131644.7247874435
BywOwm8jUhf,2023-02,131644.7247874435
BywOwm8jUhf,2023-03,131644.7247874435
BywOwm8jUhf,2023-04,131644.7247874435
BywOwm8jUhf,2023-05,131644.7247874435
BywOwm8jUhf,2023-06,131644.7247874435
BywOwm8jUhf,2023-07,131644.7247874435
BywOwm8jUhf,2023-08,131644.7247874435
BywOwm8jUhf,2023-09,131644.7247874435
BywOwm8jUhf,2023-10,131644.7247874435
BywOwm8jUhf,2023-11,131644.7247874435
BywOwm8jUhf,2023-12,131644.7247874435
BywOwm8jUhf,2024-01,131461.5044255754
BywOwm8jUhf,2024-02,131461.5044255754
BywOwm8jUhf,2024-03,131461.5044255754
BywOwm8jUhf,2024-04,131461.5044255754
BywOwm8jUhf,2024-05,131461.5044255754
BywOwm8jUhf,2024-06,131461.5044255754
BywOwm8jUhf,2024-07,131461.5044255754
BywOwm8jUhf,2024-08,131461.5044255754
BywOwm8jUhf,2024-09,131461.5044255754
BywOwm8jUhf,2024-10,131461.5044255754
BywOwm8jUhf,2024-11,131461.5044255754
BywOwm8jUhf,2024-12,131461.5044255754
CNFRaFUfLjo,2022-01,1005140.789267836
CNFRaFUfLjo,2022-02,1005140.789267836
CNFRaFUfLjo,2022-03,1005140.789267836
CNFRaFUfLjo,2022-04,1005140.789267836
CNFRaFUfLjo,2022-05,1005140.789267836
CNFRaFUfLjo,2022-06,1005140.789267836
CNFRaFUfLjo,2022-07,1005140.789267836
CNFRaFUfLjo,2022-08,1005140.789267836
CNFRaFUfLjo,2022-09,1005140.789267836
CNFRaFUfLjo,2022-10,1005140.789267836
CNFRaFUfLjo,2022-11,1005140.789267836
CNFRaFUfLjo,2022-12,1005140.789267836
CNFRaFUfLjo,2023-01,1005130.1730395264
CNFRaFUfLjo,2023-02,1005130.1730395264
CNFRaFUfLjo,2023-03,1005130.1730395264
CNFRaFUfLjo,2023-04,1005130.1730395264
CNFRaFUfLjo,2023-05,1005130.1730395264
CNFRaFUfLjo,2023-06,1005130.1730395264
CNFRaFUfLjo,2023-07,1005130.1730395264
CNFRaFUfLjo,2023-08,1005130.1730395264
CNFRaFUfLjo,2023-09,1005130.1730395264
